experiment,category,learner,query_strategy,n_estimators,max_depth,n_learners,n_initial,n_queries,r2
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,6,1,80,1,0.167427513
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,7,1,80,1,0.218005646
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,8,1,80,1,0.31770992
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,9,1,80,1,0.245822772
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,10,1,80,1,0.135478976
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,11,1,80,1,0.284064185
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,12,1,80,1,0.334601468
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,13,1,80,1,0.30881144
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,14,1,80,1,0.296328412
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,15,1,80,1,0.230052908
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,16,1,80,1,0.338402683
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,17,1,80,1,0.282202184
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,18,1,80,1,0.233931537
4_1,Single Learner,Random Forest Regressor,GP_regression_std,61,19,1,80,1,0.192664549
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,1,1,80,1,0.160423244
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,2,1,80,1,0.186128745
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,3,1,80,1,0.200409066
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,4,1,80,1,0.30646411
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,5,1,80,1,0.240046899
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,6,1,80,1,0.288130374
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,7,1,80,1,0.181599672
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,8,1,80,1,0.158850344
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,9,1,80,1,0.340466143
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,10,1,80,1,0.254651374
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,11,1,80,1,0.273378393
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,12,1,80,1,0.273863777
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,13,1,80,1,0.28051311
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,14,1,80,1,0.300254183
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,15,1,80,1,0.244512842
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,16,1,80,1,0.217735535
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,17,1,80,1,0.273093254
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,18,1,80,1,0.233055168
4_1,Single Learner,Random Forest Regressor,GP_regression_std,66,19,1,80,1,0.330192419
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,1,1,80,1,0.13731013
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,2,1,80,1,0.093957201
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,3,1,80,1,0.275816751
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,4,1,80,1,0.178669486
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,5,1,80,1,0.249841803
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,6,1,80,1,0.31417358
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,7,1,80,1,0.072672761
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,8,1,80,1,0.096185925
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,9,1,80,1,0.282322742
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,10,1,80,1,0.351802332
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,11,1,80,1,0.342217252
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,12,1,80,1,0.249341636
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,13,1,80,1,0.209590018
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,14,1,80,1,0.371717684
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,15,1,80,1,0.195250052
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,16,1,80,1,0.279519971
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,17,1,80,1,0.171624861
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,18,1,80,1,0.222182903
4_1,Single Learner,Random Forest Regressor,GP_regression_std,71,19,1,80,1,0.26487687
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,1,1,80,1,0.231875655
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,2,1,80,1,0.199514434
4_1,Single Learner,Random Forest Regressor,GP_regression_std,76,3,1,80,1,0.312350483
