category,learner,query_strategy,kernel,length_scale,length_scale_bounds,n_learners,n_initial,n_queries,r2,notes
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.95),3.953846154,"(1e-05, 100000.0)",10,80,100,0.543042479,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.95),3.953846154,"(1e-05, 100000.0)",10,80,100,0.546050962,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=3.95),3.953846154,"(1e-05, 100000.0)",10,80,100,0.552612865,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4),4,"(1e-05, 100000.0)",10,80,100,0.53968695,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.12),4.123076923,"(1e-05, 100000.0)",10,80,100,0.514010687,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.12),4.123076923,"(1e-05, 100000.0)",10,80,100,0.532000752,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.12),4.123076923,"(1e-05, 100000.0)",10,80,100,0.542473177,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.12),4.123076923,"(1e-05, 100000.0)",10,80,100,0.546453029,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.29),4.292307692,"(1e-05, 100000.0)",10,80,100,0.519922266,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.29),4.292307692,"(1e-05, 100000.0)",10,80,100,0.54079986,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.29),4.292307692,"(1e-05, 100000.0)",10,80,100,0.542891191,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.29),4.292307692,"(1e-05, 100000.0)",10,80,100,0.550849786,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.46),4.461538462,"(1e-05, 100000.0)",10,80,100,0.529012382,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.46),4.461538462,"(1e-05, 100000.0)",10,80,100,0.538821778,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.46),4.461538462,"(1e-05, 100000.0)",10,80,100,0.548380932,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.46),4.461538462,"(1e-05, 100000.0)",10,80,100,0.555485218,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.63),4.630769231,"(1e-05, 100000.0)",10,80,100,0.506750442,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.63),4.630769231,"(1e-05, 100000.0)",10,80,100,0.553436948,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.63),4.630769231,"(1e-05, 100000.0)",10,80,100,0.555045459,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.63),4.630769231,"(1e-05, 100000.0)",10,80,100,0.555712885,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.8),4.8,"(1e-05, 100000.0)",10,80,100,0.525463668,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.8),4.8,"(1e-05, 100000.0)",10,80,100,0.53680641,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.8),4.8,"(1e-05, 100000.0)",10,80,100,0.537945452,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.8),4.8,"(1e-05, 100000.0)",10,80,100,0.53864582,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.969230769,"(1e-05, 100000.0)",10,80,100,0.541702824,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.969230769,"(1e-05, 100000.0)",10,80,100,0.547095765,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.969230769,"(1e-05, 100000.0)",10,80,100,0.548064818,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=4.97),4.969230769,"(1e-05, 100000.0)",10,80,100,0.553289194,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5),5,"(1e-05, 100000.0)",10,80,100,0.552612629,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.14),5.138461538,"(1e-05, 100000.0)",10,80,100,0.531980339,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.14),5.138461538,"(1e-05, 100000.0)",10,80,100,0.534273837,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.14),5.138461538,"(1e-05, 100000.0)",10,80,100,0.545474051,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.14),5.138461538,"(1e-05, 100000.0)",10,80,100,0.553528783,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.31),5.307692308,"(1e-05, 100000.0)",10,80,100,0.533692386,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.31),5.307692308,"(1e-05, 100000.0)",10,80,100,0.535810153,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.31),5.307692308,"(1e-05, 100000.0)",10,80,100,0.539299787,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.31),5.307692308,"(1e-05, 100000.0)",10,80,100,0.542335644,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.48),5.476923077,"(1e-05, 100000.0)",10,80,100,0.51786156,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.48),5.476923077,"(1e-05, 100000.0)",10,80,100,0.53979272,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.48),5.476923077,"(1e-05, 100000.0)",10,80,100,0.54958123,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.48),5.476923077,"(1e-05, 100000.0)",10,80,100,0.557427923,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.65),5.646153846,"(1e-05, 100000.0)",10,80,100,0.496739867,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.65),5.646153846,"(1e-05, 100000.0)",10,80,100,0.53608442,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.65),5.646153846,"(1e-05, 100000.0)",10,80,100,0.54448432,
Committee,Gaussian Process,max_std_sampling,RBF(length_scale=5.65),5.646153846,"(1e-05, 100000.0)",10,80,100,0.548620353,
